id	factchecking	claim	factchecking_updated
13	https://www.factcheck.org/2018/08/pelosi-told-democrats-to-win-not-lie/	https://www.westernjournal.com/ct/pelosi-sinks-to-new-low-tells-dems-if-you-have-to-lie-to-voters-to-win-do-it/	https://www.factcheck.org/2018/08/pelosi-told-democrats-to-win-not-lie/
14	https://www.factcheck.org/2018/09/clinton-goes-too-far-in-criticizing-trump/	https://www.theatlantic.com/ideas/archive/2018/09/american-democracy-is-in-crisis/570394/	https://www.factcheck.org/2018/09/clinton-goes-too-far-in-criticizing-trump/
15	https://www.factcheck.org/2018/08/putting-frances-consent-issue-into-context/	https://yournewswire.com/french-law-children-consent-sex/	https://www.factcheck.org/2018/08/putting-frances-consent-issue-into-context/
16	https://www.factcheck.org/2018/06/roseanne-fox-and-a-satire-story/	https://extranewsfeed.com/fox-network-picks-up-roseanne-saying-it-has-no-problem-with-occasional-racism-f65c8be15300	https://www.factcheck.org/2018/06/roseanne-fox-and-a-satire-story/
17	https://www.snopes.com/fact-check/lottery-winner-arrested-dumping-200000-manure-lawn-former-boss/	https://worldnewsdailyreport.com/lottery-winner-arrested-for-dumping-200000-of-manure-on-ex-boss-lawn/	https://www.snopes.com/fact-check/lottery-winner-arrested-dumping-200000-manure-lawn-former-boss/
18	https://www.snopes.com/fact-check/samsung-cellphone-stuck/	https://worldnewsdailyreport.com/woman-sues-samsung-for-1-8m-after-cell-phone-gets-stuck-inside-her-vagina/	https://www.snopes.com/fact-check/samsung-cellphone-stuck/
19	https://www.factcheck.org/2018/09/the-michael-jordan-nike-fallout-that-wasnt/	https://www.charlottepost.site/breaking-michael-jordan-resigns-from-the-board-at-nike-takes-air-jordans-with-him-read-more/	https://www.factcheck.org/2018/09/the-michael-jordan-nike-fallout-that-wasnt/
20	https://www.snopes.com/fact-check/jordan-nike-board/	https://trumpbetrayed.us/all/breaking-michael-jordan-resigns-from-the-board-at-nike-takes-air-jordans-with-him/	https://www.snopes.com/fact-check/jordan-nike-board/
21	https://www.snopes.com/fact-check/trump-end-shootings-ban-schools/	https://www.8shit.net/donald-trump-ends-school-shootings-banning-schools/	https://www.snopes.com/fact-check/trump-end-shootings-ban-schools/
22	https://www.snopes.com/fact-check/alligator-rape-arrest/	https://www.huzlers.com/florida-man-arrested-for-tranquilizing-and-raping-alligators-in-everglades/	https://www.snopes.com/fact-check/alligator-rape-arrest/
23	https://www.snopes.com/fact-check/marijuana-censer-arrest/	https://haynoticia.es/detenidos-2-monaguillos-gallegos-meter-marihuana-botafumeiro3333/	https://www.snopes.com/fact-check/marijuana-censer-arrest/
24	https://www.snopes.com/fact-check/did-north-korea-open-doors-christianity/	https://www.charismamag.com/blogs/fire-in-my-bones/36789-north-korea-will-open-its-doors-to-christianity	https://www.snopes.com/fact-check/did-north-korea-open-doors-christianity/
25	https://www.snopes.com/fact-check/ecoli-girlfriend-death/	https://www.huzlers.com/man-eats-girlfriends-booty-for-the-first-time-dies-from-e-coli/	https://www.snopes.com/fact-check/ecoli-girlfriend-death/
